2420363.76 3.4
2420365.68 3.7
2420366.67 4.1
2420370.94 4.0
2420371.7 3.9
2420372.7 3.8
2420375.7 3.7
2420383.6 3.2
2420384.7 3.7
2420385.7 3.8
2420386.7 3.8
2420389.6 3.6
2420390.6 3.9
2420391.6 3.8
2420392.7 3.8
2420394.6 3.7
2420394.9 3.8
2420395.6 3.9
2420399.6 4.0
2420402.6 3.8
2420403.6 4.1
2420407.6 4.0
2420411.6 4.0
2420412.7 3.8
2420413.6 4.1
2420415.6 4.1
2420416.6 3.7
2420417.6 3.8
2420418.6 3.8
2420419.6 3.8
2420420.6 4.0
2420421.6 3.7
2420422.6 3.3
2420423.6 3.6
2420424.7 3.7
2420427.6 3.6
2420428.6 3.8
2420429.6 4.1
2420430.6 4.0
2420431.6 4.0
2420432.6 3.7
2420433.6 3.6
2420434.6 4.0
2420439.6 3.6
2420440.6 3.6
2420441.6 3.8
2420442.6 3.9
2420443.6 3.7
2420444.6 3.8
2420445.6 4.0
2420449.6 3.9
2420450.6 4.2
2420451.6 4.0
2420452.6 4.3
2420453.6 3.6
2420454.6 3.9
2420455.6 4.0
2420456.6 4.1
2420457.6 4.2
2420458.6 4.0
2420459.6 3.6
2420460.6 3.9
2420473.6 4.1
2420474.6 4.0
2420476.6 4.0
2420477.6 4.1
2420479.6 4.1
2420480.6 4.0
2420481.6 4.0
2420499.6 4.3
2420500.6 4.3
2420501.6 4.2
2420504.6 4.1
2420505.6 4.2
2420507.6 3.8
2420508.6 4.0
2420509.6 4.3
2420510.6 4.1
2420513.6 3.9
2420515.6 4.3
2420516.6 4.3
2420517.1 4.1
2420532.6 4.1
2420533.6 4.3
2420534.6 3.8
2420535.6 3.9
2420536.6 4.0
2420542.6 4.1
2420543.1 4.2
2420569.0 3.6
2420571.0 4.2
2420574.0 3.8
2420577.0 3.4
2420633.9 4.1
2420639.9 4.1
2420652.7 3.9
2420653.7 4.3
2420655.7 4.1
2420656.7 3.8
2420659.7 3.4
2420660.7 3.7
2420661.7 4.0
2420661.9 4.1
2420662.7 3.9
2420663.7 3.4
2420664.7 3.7
2420665.7 3.9
2420666.7 4.1
2420667.7 4.2
2420672.0 3.6
2420672.7 3.9
2420673.7 3.8
2420674.7 3.4
2420675.7 3.6
2420676.7 3.9
2420681.7 3.9
2420682.8 4.0
2420683.7 4.1
2420684.7 3.9
